sat4.Earth.SMA            sat4.Earth.ECC            sat4.Earth.RadPer         sat4.Earth.Energy         sat4.Earth.HMAG           sat4.Earth.RMAG           sat4.EarthMJ2000Eq.VMAG   sat4.Earth.TA             sat4.EarthMJ2000Eq.FPA    
642589.9999999633         0.9850999999999994        9574.590999999826         -0.3101514507695597       87040.26367254966         9574.590999999833         9.09075527848147          0                         90                        
642591.1089637092         0.9851000257194577        9574.590996464454         -0.3101509155198343       87040.2642203381          9582.296777629945         9.087071907343429         3.26227715465361          88.38110790403609         
642593.0710538274         0.9851000712661742        9574.590963552313         -0.3101499685067495       87040.26506927914         9650.425652257687         9.054697497780205         10.2099624070081          84.93343790028212         
642594.4851359082         0.985100104173363         9574.590887296456         -0.3101492859962036       87040.26544410392         9797.321476698695         8.986043069595254         17.40992838742116         81.36088149012976         
642595.1856911291         0.9851001206088553        9574.590764128041         -0.3101489478724417       87040.26524457851         10016.46673110068         8.886435353208311         24.34179608009289         77.92185421923334         
642595.1573476868         0.98510012023807          9574.590580079002         -0.3101489615524216       87040.26439987763         10317.3491232648          8.75486706478998          31.2481438170586          74.49619593429624         
642594.2182859321         0.9851000989031504        9574.590297867757         -0.3101494147918373       87040.26264938644         10737.66404065757         8.580391568945545         38.58100455799669         70.86002033053353         
642592.4579702176         0.9851000586335421        9574.589946284299         -0.3101502644141476       87040.26016846157         11214.32304712858         8.394488647024971         45.1419379538716          67.60778978026403         
642590.0699694238         0.9851000039003787        9574.589536199817         -0.3101514169982167       87040.25710453429         11725.07428414738         8.207972522519375         50.91978657726449         64.7448632817636          
642587.0550585351         0.9850999347466081        9574.58905135713          -0.3101528721767437       87040.25338465587         12284.88312060052         8.01701493163193          56.26017892245891         62.0998299518294          
642583.3736132549         0.9850998502774624        9574.588476050823         -0.3101546490836391       87040.2489178215          12905.40457502464         7.819995431103377         61.3206816503391          59.59460706318633         
642578.9700420876         0.9850997492271811        9574.587794966768         -0.3101567745625822       87040.24360667118         13597.1605121985          7.616405946494818         66.18111176425195         57.18969658263784         
642573.7733259666         0.9850996299720597        9574.586992806744         -0.3101592829075805       87040.23734607485         14371.70466396125         7.406068470430259         70.89059009857617         54.86084761727825         
642567.703010823          0.9850994906659005        9574.586056503629         -0.3101622129717327       87040.23003615985         15241.74618633085         7.189120382721137         75.47873438114307         52.59349897397681         
642560.6925698175         0.9850993297714035        9574.584981841452         -0.3101655968916042       87040.22162406005         16218.76973313204         6.966537874592994         79.95142559761329         50.38484931797691         
642552.7400190104         0.9850991472141791        9574.583786149105         -0.3101694356545792       87040.2121869118          17307.20436677202         6.741027753358853         84.27986993128283         48.24921306432823         
642543.9256597856         0.9850989447813678        9574.582516653147         -0.310173690530732        87040.20197855859         18503.01432021026         6.516484646364688         88.41715939807376         46.20978066231129         
642534.3337078836         0.9850987243136416        9574.58124453175          -0.3101783208998263       87040.19136288499         19804.39224614168         6.295505119103557         92.34397366946848         44.27606379233086         
642522.7786189428         0.9850984583532189        9574.57994459572          -0.3101838991270967       87040.1796234302          21387.11128132659         6.054292664497718         96.48799966713156         42.23777617325807         
642511.5428989193         0.9850981991794883        9574.579037159376         -0.3101893233711976       87040.16981682135         22955.86385295509         5.840134432367304         100.0580015536326         40.48409769067499         
